LinearVel.X,LinearVel.Y,LinearAcc.X,LinearAcc.Y,AngularVel.Z,AngularAcc.Z,VelMulDelta.X,VelMulDelta.Y, Angvelmuldelta.Z,GTruthPosDiff.X,GTruthPosDiff.Y,GTruthRotDiff.Z
-27.036271,-3.014550,-10.872434,8.327613,61.566485,620.028168,-2.703627,-0.301455,6.156649,-275.984658,-13.415801,-0.279254,
-27.899773,0.260397,-8.635015,32.749470,-2.792536,-643.590202,-2.789977,0.026040,-0.279254,-276.850488,35.964817,-0.375247,
-27.180754,6.319392,7.190184,60.589951,-3.752465,-9.599298,-2.718075,0.631939,-0.375247,-252.538245,105.819779,-0.392699,
-23.413550,13.607497,37.672044,72.881045,-3.926991,-1.745254,-2.341355,1.360750,-0.392699,-196.767471,173.131178,-0.392699,
-16.652659,19.649392,67.608913,60.418948,-3.926991,0.000000,-1.665266,1.964939,-0.392699,-117.159917,217.878507,-0.392699,
-8.035345,22.857531,86.173136,32.081390,-3.926991,0.000000,-0.803534,2.285753,-0.392699,-27.806802,230.181297,-0.392699,
0.912434,22.659117,89.477785,-1.984139,-3.926991,0.000000,0.091243,2.265912,-0.392699,56.302314,209.311292,-0.392699,
8.762393,19.302777,78.499588,-33.563399,-3.926991,0.000000,0.876239,1.930278,-0.392699,122.883302,161.174352,-0.392699,
14.453597,13.584724,56.912045,-57.180530,-3.926991,0.000000,1.445360,1.358472,-0.392699,164.289141,97.709392,-0.130900,
17.496076,7.333792,30.424789,-62.509319,-1.308997,26.179939,1.749608,0.733379,-0.130900,184.505026,50.649843,0.000000,
19.031990,3.755877,15.359139,-35.779153,0.000000,13.089969,1.903199,0.375588,0.000000,197.060902,25.477167,0.000000,
20.161837,1.849872,11.298466,-19.060048,0.000000,0.000000,2.016184,0.184987,0.000000,207.651637,12.042506,0.000000,
21.189429,0.830728,10.275922,-10.191434,0.000000,0.000000,2.118943,0.083073,0.000000,217.757315,4.837538,0.000000,
22.192956,0.282468,10.035270,-5.482607,0.000000,0.000000,2.219296,0.028247,0.000000,212.344261,2.084706,0.000000,
20.116502,0.197495,-20.764538,-0.849724,0.000000,0.000000,2.011650,0.019750,0.000000,185.828161,1.824382,0.043633,
17.498007,0.171788,-26.184947,-0.257073,0.436332,4.363323,1.749801,0.017179,0.043633,160.097880,1.571773,0.052360,
14.957085,0.146842,-25.409222,-0.249457,0.523599,0.872665,1.495709,0.014684,0.052360,135.128755,1.326637,0.052360,
12.491457,0.122636,-24.656279,-0.242065,0.523599,0.000000,1.249146,0.012264,0.052360,110.900438,1.088773,0.052360,
10.098875,0.099146,-23.925820,-0.234894,0.523599,-0.000000,1.009888,0.009915,0.052360,106.018358,7.870503,0.052360,
10.953576,1.249071,8.547003,11.499244,0.523599,0.000000,1.095358,0.124907,0.052360,114.294637,18.476145,0.052360,
11.763572,2.265700,8.099962,10.166288,0.523599,-0.000000,1.176357,0.226570,0.052360,122.208908,28.232955,0.017453,
12.552551,3.187871,7.889791,9.221711,0.174533,-3.490659,1.255255,0.318787,0.017453,130.444547,35.852735,0.000000,
13.403724,3.838558,8.511733,6.506872,0.000000,-1.745329,1.340372,0.383856,0.000000,139.241735,41.322545,0.000000,
14.300365,4.325866,8.966405,4.873079,0.000000,0.000000,1.430036,0.432587,0.000000,148.370509,45.647892,0.000000,
15.222772,4.726858,9.224070,4.009921,0.000000,0.000000,1.522277,0.472686,0.000000,157.684278,49.367812,0.000000,
16.159294,5.082114,9.365224,3.552554,0.000000,0.000000,1.615929,0.508211,0.000000,167.097119,52.766233,0.008727,
17.103423,5.413096,9.441290,3.309825,0.087266,0.872665,1.710342,0.541310,0.008727,176.103300,57.362463,0.052360,
17.949771,6.028466,8.463473,6.153701,0.523599,4.363323,1.794977,0.602847,0.052360,183.695828,65.692912,0.052360,
18.650779,6.992890,7.010084,9.644237,0.523599,0.000000,1.865078,0.699289,0.052360,189.961912,76.683980,0.052360,
19.226065,8.174929,5.752861,11.820394,0.523599,0.000000,1.922607,0.817493,0.052360,195.193844,89.088763,0.065450,
19.740216,9.399909,5.141506,12.249795,0.654499,1.309004,1.974022,0.939991,0.065450,196.351555,106.794102,0.279253,
19.311823,11.870494,-4.283924,24.705846,2.792534,21.380344,1.931182,1.187049,0.279253,179.274463,141.232903,0.375246,
16.536554,15.851745,-27.752692,39.812516,3.752464,9.599307,1.653655,1.585175,0.375246,134.890864,181.351058,0.392699,
10.974901,19.578158,-55.616534,37.264130,3.926991,1.745266,1.097490,1.957816,0.392699,67.890786,207.568836,0.392699,
3.654742,21.231773,-73.201580,16.536145,3.926991,0.000000,0.365474,2.123177,0.392699,-8.174492,207.848902,0.392699,
-3.948665,20.065404,-76.034072,-11.663687,3.926991,-0.000000,-0.394866,2.006540,0.392699,-78.851713,180.231580,0.392699,
-10.465751,16.234300,-65.170859,-38.311037,3.926991,0.000000,-1.046575,1.623430,0.392699,-132.549539,129.905279,-5.890486,
-14.912122,10.471617,-44.463713,-57.626833,-58.904862,-628.318515,-1.491212,1.047162,-5.890486,-162.215600,66.037066,0.392699,
-16.785696,3.787182,-18.735733,-66.844346,3.926991,628.318515,-1.678570,0.378718,0.392699,-165.592597,-0.880987,0.392699,
-16.050886,-2.769589,7.348094,-65.567712,3.926991,0.000000,-1.605089,-0.276959,0.392699,-144.673676,-61.005404,0.392699,
-13.061264,-8.280221,29.896224,-55.106325,3.926991,0.000000,-1.306126,-0.828022,0.392699,-108.049600,-105.850506,0.065450,
-9.426367,-11.909190,36.348971,-36.289685,0.654498,-32.724923,-0.942637,-1.190919,0.065450,-81.734927,-131.829181,0.000000,
-7.466077,-13.965003,19.602891,-20.558134,0.000000,-6.544985,-0.746608,-1.396500,0.000000,-68.639220,-148.398276,0.000000,
-6.538670,-15.413042,9.274078,-14.480390,0.000000,0.000000,-0.653867,-1.541304,0.000000,-62.971287,-161.218588,0.000000,
-6.181622,-16.604763,3.570471,-11.917202,0.000000,0.000000,-0.618162,-1.660476,0.000000,-61.356215,-172.374690,0.000000,
-6.133337,-17.677820,0.482850,-10.730570,0.000000,0.000000,-0.613334,-1.767782,0.000000,-61.982610,-182.912565,0.000000,
-6.250791,-18.693410,-1.174534,-10.155902,0.000000,0.000000,-0.625079,-1.869341,0.000000,-63.688179,-192.686799,-0.017453,
-6.474968,-19.672186,-2.241774,-9.787760,-0.174533,-1.745329,-0.647497,-1.967219,-0.017453,-68.252621,-201.678073,-0.052360,
-7.144628,-20.495580,-6.696601,-8.233937,-0.523599,-3.490659,-0.714463,-2.049558,-0.052360,-77.384421,-208.904689,-0.052360,
-8.203640,-21.151162,-10.590117,-6.555823,-0.523599,-0.000000,-0.820364,-2.115116,-0.052360,-85.487403,-209.592516,-0.052360,
-8.308350,-20.162894,-1.047100,9.882676,-0.523599,0.000000,-0.830835,-2.016289,-0.052360,-77.817431,-187.968253,0.000000,
-7.704982,-18.170109,6.033681,19.927852,0.000000,5.235988,-0.770498,-1.817011,0.000000,-84.247150,-184.703998,0.000000,
-8.876156,-18.712342,-11.711739,-5.422331,0.000000,0.000000,-0.887616,-1.871234,0.000000,-94.765094,-190.585876,-0.052360,
-9.944754,-19.280532,-10.685979,-5.681899,-0.523599,-5.235988,-0.994475,-1.928053,-0.052360,-106.853349,-195.280305,-0.052360,
-11.238394,-19.683544,-12.936398,-4.030120,-0.523599,0.000000,-1.123839,-1.968354,-0.052360,-120.663106,-198.463534,-0.052360,
-12.673175,-19.943517,-14.347813,-2.599729,-0.523599,-0.000000,-1.267318,-1.994352,-0.052360,-135.585437,-200.288229,-0.052360,
-14.201386,-20.071589,-15.282105,-1.280720,-0.523599,0.000000,-1.420139,-2.007159,-0.052360,-152.702762,-199.442730,-0.190532,
-16.224540,-19.647051,-20.231543,4.245380,-1.905320,-13.817212,-1.622454,-1.964705,-0.190532,-180.922531,-183.763766,-0.314160,
-19.561355,-17.096091,-33.368155,25.509599,-3.141603,-12.362831,-1.956136,-1.709609,-0.314160,-216.528309,-140.918980,5.893395,
-23.020367,-11.513364,-34.590115,55.827270,58.933949,620.755508,-2.302037,-1.151336,5.893395,-241.419071,-70.153382,-0.392699,
-24.562573,-3.599790,-15.422064,79.135736,-3.926991,-628.609385,-2.456257,-0.359979,-0.392699,-239.438117,13.544641,-0.392699,
-23.057644,4.839694,15.049291,84.394842,-3.926991,0.000000,-2.305764,0.483969,-0.392699,-206.568452,92.370851,-0.392699,
-18.571352,12.118760,44.862922,72.790655,-3.926991,0.000000,-1.857135,1.211876,-0.392699,-148.272463,152.155396,-0.392699,
-11.930778,17.044318,66.405738,49.255584,-3.926991,0.000000,-1.193078,1.704432,-0.392699,-75.149183,184.510488,-0.392699,
-4.310938,19.033793,76.198404,19.894747,-3.926991,0.000000,-0.431094,1.903379,-0.392699,-5.403919,190.805355,0.000000,
1.619329,19.072773,59.302661,0.389799,0.000000,39.269908,0.161933,1.907277,0.000000,36.302194,191.138420,0.000000,
4.809562,19.182040,31.902332,1.092668,0.000000,0.000000,0.480956,1.918204,0.000000,59.603690,193.920330,0.000000,
6.652789,19.578715,18.432271,3.966756,0.000000,0.000000,0.665279,1.957872,0.000000,73.784320,199.188813,-0.026180,
7.862578,20.170780,12.097886,5.920649,-0.261799,-2.617994,0.786258,2.017078,-0.026180,85.985327,204.816916,-0.052360,
9.146698,20.686121,12.841204,5.153409,-0.523599,-2.617994,0.914670,2.068612,-0.052360,99.659582,209.257617,-0.052360,
10.566581,21.080105,14.198831,3.939835,-0.523599,0.000000,1.056658,2.108010,-0.052360,114.444403,212.509069,-0.052360,
12.082719,21.356316,15.161375,2.762113,-0.523599,0.000000,1.208272,2.135632,-0.052360,130.041331,214.587121,-0.052360,
13.670854,21.515249,15.881352,1.589326,-0.523599,0.000000,1.367085,2.151525,-0.052360,146.259170,215.487288,-0.052360,
15.314626,21.555635,16.437722,0.403863,-0.523599,0.000000,1.531463,2.155564,-0.052360,162.957720,215.188047,-0.052360,
17.001646,21.475301,16.870196,-0.803342,-0.523599,0.000000,1.700165,2.147530,-0.052360,180.028106,213.668502,-0.052360,
18.721503,21.271723,17.198574,-2.035772,-0.523599,0.000000,1.872150,2.127172,-0.052360,197.370143,210.900905,-0.052360,
20.464670,20.942393,17.431668,-3.293302,-0.523599,0.000000,2.046467,2.094239,-0.052360,214.891662,206.862222,-0.052360,
22.221991,20.485034,17.573210,-4.573589,-0.523599,0.000000,2.222199,2.048503,-0.052360,231.607923,202.727396,0.000000,
23.762854,20.197458,15.408625,-2.875767,0.000000,5.235988,2.376285,2.019746,0.000000,244.720484,202.484323,0.000000,
24.943469,20.326405,11.806157,1.289476,0.000000,0.000000,2.494347,2.032641,0.000000,255.346411,205.204071,0.000000,
25.938388,20.681190,9.949189,3.547850,0.000000,0.000000,2.593839,2.068119,0.000000,264.678344,209.519773,0.000000,
26.836187,21.157216,8.977991,4.760253,0.000000,0.000000,2.683619,2.115722,0.000000,264.324552,207.933521,0.000000,
25.519113,20.071018,-13.170742,-10.861973,0.000000,0.000000,2.551911,2.007102,0.000000,241.452664,189.904752,0.026180,
23.173248,18.225974,-23.458648,-18.450444,0.261799,2.617994,2.317325,1.822597,0.026180,222.521927,176.920678,0.052360,
22.123064,17.986986,-10.501845,-2.389878,0.523599,2.617994,2.212306,1.798699,0.052360,221.783399,188.067941,0.095993,
22.177056,19.425896,0.539921,14.389094,0.959932,4.363333,2.217706,1.942590,0.095993,212.466998,210.408308,0.296710,
20.144600,22.434974,-20.324558,30.090780,2.967100,20.071683,2.014460,2.243497,0.296710,171.864916,246.883686,0.383976,
14.538609,26.248551,-56.059910,38.135776,3.839762,8.726614,1.453861,2.624855,0.383976,96.451005,277.217307,0.392699,
5.856168,28.382625,-86.824404,21.340734,3.926991,0.872290,0.585617,2.838263,0.392699,1.974808,279.793284,0.392699,
-3.832187,27.184981,-96.883551,-11.976436,3.926991,0.000000,-0.383219,2.718498,0.392699,-90.306791,247.147261,0.392699,
-12.477031,22.507375,-86.448435,-46.776063,3.926991,-0.000000,-1.247703,2.250738,0.392699,-162.871287,184.101177,0.392699,
-18.581483,15.202656,-61.044524,-73.047187,3.926991,0.000000,-1.858148,1.520266,0.392699,-204.923695,102.323720,-5.890486,
-21.375894,6.601612,-27.944109,-86.010440,-58.904862,-628.318515,-2.137589,0.660161,-5.890486,-212.924546,15.842837,0.392699,
-20.783106,-1.893473,5.927881,-84.950842,3.926991,628.318515,-2.078311,-0.189347,0.392699,-189.429686,-62.297608,0.327249,
-17.274654,-9.074720,35.084515,-71.812477,3.272492,-6.544986,-1.727465,-0.907472,0.327249,-152.029099,-118.264223,0.000000,
-13.999450,-13.398520,32.752041,-43.237996,0.000000,-32.724922,-1.399945,-1.339852,0.000000,-129.289310,-149.151051,0.000000,
-12.337846,-15.836911,16.616044,-24.383905,0.000000,0.000000,-1.233785,-1.583691,0.000000,-118.752417,-168.320785,0.000000,
-11.644187,-17.469771,6.936583,-16.328601,0.000000,0.000000,-1.164419,-1.746977,0.000000,-115.248911,-182.238466,0.000000,
-11.494339,-18.726887,1.498488,-12.571166,0.000000,0.000000,-1.149434,-1.872689,0.000000,-115.628944,-193.624563,0.000000,
-11.641358,-19.798318,-1.470189,-10.714308,0.000000,0.000000,-1.164136,-1.979832,0.000000,-118.137517,-203.779518,0.000000,
-11.948329,-20.775027,-3.069711,-9.767083,0.000000,0.000000,-1.194833,-2.077503,0.000000,-121.723805,-213.187709,0.000000,
-12.340771,-21.702087,-3.924420,-9.270600,0.000000,0.000000,-1.234077,-2.170209,0.000000,-125.952031,-222.319294,0.000000,
-12.778866,-22.603252,-4.380953,-9.011656,0.000000,0.000000,-1.277887,-2.260325,0.000000,-130.472706,-231.218569,0.000000,
-13.241189,-23.490575,-4.623230,-8.873227,0.000000,0.000000,-1.324119,-2.349058,0.000000,-133.604823,-237.227266,0.000000,
-13.087697,-23.244277,1.534915,2.462982,0.000000,0.000000,-1.308770,-2.324428,0.000000,-122.793685,-218.086519,0.000000,
-11.707608,-20.793182,13.800895,24.510944,0.000000,0.000000,-1.170761,-2.079318,0.000000,-119.904269,-213.088113,0.000000,
-12.189279,-21.669805,-4.816713,-8.766232,0.000000,0.000000,-1.218928,-2.166981,0.000000,-124.728456,-221.809885,0.000000,
-12.674773,-22.544115,-4.854933,-8.743098,0.000000,0.000000,-1.267477,-2.254412,0.000000,-129.591564,-230.536828,-0.008727,
-13.162314,-23.417228,-4.875418,-8.731131,-0.087266,-0.872665,-1.316231,-2.341723,-0.008727,-136.275355,-238.211179,-0.052360,
-14.041060,-24.059319,-8.787455,-6.420902,-0.523599,-4.363323,-1.404106,-2.405932,-0.052360,-147.965833,-242.712871,-0.098902,
-15.419727,-24.358971,-13.786672,-2.996528,-0.989020,-4.654213,-1.541973,-2.435897,-0.098902,-170.023061,-238.399598,-0.261800,
-18.405516,-23.144270,-29.857883,12.147009,-2.618003,-16.289825,-1.840552,-2.314427,-0.261800,-209.076607,-210.008935,-0.363611,
-22.781195,-18.975622,-43.756792,41.686482,-3.636114,-10.181111,-2.278120,-1.897562,-0.363611,-251.024642,-147.827469,5.890486,
-26.483382,-11.390020,-37.021874,75.856022,58.904862,625.409742,-2.648338,-1.139002,5.890486,-272.734589,-59.373365,-0.392699,
-27.358413,-1.922487,-8.750308,94.675328,-3.926991,-628.318515,-2.735841,-0.192249,-0.392699,-260.809323,36.114767,-0.392699,
-24.682335,7.414552,26.760784,93.370391,-3.926991,0.000000,-2.468233,0.741455,-0.392699,-215.205046,119.952408,-0.392699,
